time_s,pitch_deg,pitch_rate_rad_s,elevator_cmd,altitude_ft
0.0,5.511710495795965e-06,0.026886923071276693,1.0,5000.000005662441
0.01,0.015416093466782181,0.05269204724849108,0.3545318829327641,4999.999704904854
0.02,0.045611921485477276,-0.035350925629945754,0.3087513555197432,4999.9993729144335
0.03,0.025362855639519417,-0.04530089274810963,0.46270088981025126,5000.005052834749
0.04,-0.0005870967945476448,-0.049329236840501015,0.4828796631886645,5000.006112873554
0.05,-0.028845085640235472,-0.07003518971071579,0.4930701805483093,5000.009404763579
0.06,-0.06896665041477694,-0.09134348704093914,0.5328844268469146,5000.013706967235
0.07,-0.12129688206530727,-0.11203638379929404,0.574721105383338,5000.018252972513
0.08,-0.18548315235691185,-0.13537917569317234,0.6164612195603604,5000.023349016905
0.09,-0.2630437017421356,-0.16134281652491037,0.663841509532384,5000.02904715389
0.1,-0.3554801220216542,-0.18965864190338474,0.7169351318620358,5000.035241927952
0.11,-0.46414006543634184,-0.22070580181775307,0.7753913247538053,5000.041887909174
0.12,-0.5905884132016093,-0.25483804905103646,0.8399905233094045,5000.048947650939
0.13,-0.7365927227349401,-0.2923376633423673,0.9114860719208093,5000.056360796094
0.14,-0.9040822753384112,-0.33354453415752966,0.9905217817945755,5000.064057342708
0.15,-1.0951810821517831,-0.37883071540588825,1.0,5000.071959923953
0.16,-1.3122263100841727,-0.42860899641800343,1.0,5000.079980045557
0.17,-1.55779161831187,-0.4747291322407511,1.0,5000.088017139584
0.18,-1.8297809645282785,-0.5162410114091883,1.0,5000.095491554588
0.19,-2.125553951530494,-0.553315424745411,1.0,5000.10222196579
0.2,-2.4425680523739546,-0.5861112410353204,1.0,5000.107870545238
0.21,-2.7783717801281123,-0.6148299536223939,1.0,5000.112098284066
0.22,-3.1306291115806024,-0.6396823302767234,1.0,5000.114564590156
0.23,-3.497124801554215,-0.660862887297559,1.0,5000.114925600588
0.24,-3.8757550706982085,-0.6785754653986867,1.0,5000.112836491317
0.25,-4.264532947638259,-0.6930428408936621,1.0,5000.107953641564
0.26,-4.661599118106443,-0.7044761436248869,1.0,5000.099936559796
0.27,-5.065215250533656,-0.7130644198133254,1.0,5000.0884495824575
